#{"t_start": 1641013625.769661, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,853,5485.514359
-21.0,819,5494.056006
-21.0,809,5502.496967
-21.0,831,5511.164496
-20.0,989,5521.499546
-20.0,968,5531.617207
-21.0,811,5540.092678
-21.0,988,5550.424674
-21.0,853,5559.285829
-21.0,780,5567.421702
-21.0,821,5575.994671
-19.0,1114,5587.627275
-21.0,759,5595.553309
-21.0,825,5604.17042
-20.0,863,5613.192461
-21.0,761,5621.155391
-21.0,762,5629.182325
-21.0,759,5637.131413
-21.0,787,5645.307673
-21.0,762,5653.35017
-19.0,987,5663.668948
-18.0,1216,5676.309707
-21.0,761,5684.213005
-21.0,764,5692.122495
-21.0,818,5700.728917
-21.0,804,5709.139466
-21.0,789,5717.379722
-21.0,818,5725.986208
-21.0,865,5734.983369
-20.0,1158,5746.995104
-21.0,849,5755.823198
-21.0,779,5763.958577
-21.0,877,5773.058314
-20.0,953,5782.971405
-21.0,809,5791.402617
-21.0,839,5800.155429
-21.0,1019,5810.826617
-20.0,842,5819.610965
-20.0,924,5829.210158
-20.0,896,5838.522719
-20.0,872,5847.583855
-19.0,1096,5858.968842
-20.0,945,5868.806959
-21.0,825,5877.436266
-21.0,825,5886.02615
-21.0,757,5893.897827
-21.0,1090,5905.260607
-21.0,880,5914.445899
-18.0,1245,5927.477124
-21.0,913,5936.947148
-20.0,960,5946.922114
-21.0,866,5955.996623
-20.0,898,5965.319442
-21.0,1007,5975.828745
-19.0,1021,5986.533859
-20.0,918,5996.069846
-20.0,895,6005.48817
-21.0,1003,6015.961372
-21.0,939,6025.778871
-21.0,908,6035.269913
-19.0,1173,6047.522511
-21.0,851,6056.356484
-21.0,763,6064.232101
-21.0,828,6072.900264
-21.0,823,6081.504477
-21.0,841,6090.294873
-21.0,779,6098.413829
-18.0,1231,6111.193302
-19.0,990,6121.559026
-19.0,956,6131.599132
-20.0,855,6140.473894
-20.0,1078,6151.70875
-20.0,935,6161.432636
-19.0,1034,6172.295107
-21.0,865,6181.353337
-21.0,848,6190.191885
-21.0,896,6199.464526
-21.0,880,6208.70118
-20.0,926,6218.3253
-20.0,947,6228.191925
-21.0,879,6237.328572
-20.0,1010,6247.866251
-21.0,1003,6258.331184
-21.0,761,6266.265783
-21.0,762,6274.294522
-21.0,764,6282.283954
-21.0,936,6292.060328
-20.0,849,6300.938959
-20.0,937,6310.607953
-21.0,845,6319.461838
-21.0,882,6328.553303
-21.0,805,6336.97372
-20.0,893,6346.309972
-21.0,867,6355.324867
-20.0,1129,6367.126225
-21.0,968,6377.226185
-20.0,947,6387.084507
-21.0,786,6395.276442
-20.0,980,6405.448672
-20.0,1067,6416.625236
-20.0,951,6426.435993
-21.0,880,6435.585258
-19.0,1041,6446.414029
-21.0,806,6454.755437
-21.0,760,6462.659926
-19.0,1124,6474.389616
-20.0,962,6484.472277
-21.0,851,6493.325547
-21.0,865,6502.273669
-20.0,841,6510.989743
