Updates,total_num_steps,Last 10 mean_episode_rewards
2870,229680,508.0
2880,230480,508.0
2890,231280,522.0
2900,232080,522.0
2910,232880,522.0
2920,233680,522.0
2930,234480,526.0
2940,235280,526.0
2950,236080,526.0
2960,236880,526.0
2970,237680,526.0
2980,238480,526.0
2990,239280,526.0
3000,240080,516.0
3010,240880,516.0
3020,241680,506.0
3030,242480,480.0
3040,243280,480.0
3050,244080,468.0
3060,244880,468.0
3070,245680,468.0
3080,246480,444.0
3090,247280,448.0
3100,248080,448.0
3110,248880,448.0
3120,249680,448.0
3130,250480,448.0
3140,251280,440.0
3150,252080,440.0
3160,252880,426.0
3170,253680,434.0
3180,254480,432.0
3190,255280,432.0
3200,256080,452.0
3210,256880,478.0
3220,257680,478.0
3230,258480,478.0
3240,259280,478.0
3250,260080,478.0
3260,260880,458.0
3270,261680,458.0
3280,262480,460.0
3290,263280,446.0
3300,264080,454.0
3310,264880,454.0
3320,265680,454.0
3330,266480,450.0
3340,267280,450.0
3350,268080,450.0
3360,268880,456.0
3370,269680,456.0
3380,270480,456.0
3390,271280,452.0
3400,272080,452.0
3410,272880,452.0
3420,273680,452.0
3430,274480,460.0
3440,275280,448.0
3450,276080,448.0
3460,276880,448.0
3470,277680,448.0
3480,278480,448.0
3490,279280,476.0
3500,280080,502.0
3510,280880,482.0
3520,281680,482.0
3530,282480,460.0
3540,283280,452.0
3550,284080,446.0
3560,284880,476.0
3570,285680,476.0
3580,286480,476.0
3590,287280,476.0
3600,288080,506.0
3610,288880,500.0
3620,289680,500.0
3630,290480,500.0
3640,291280,496.0
3650,292080,496.0
3660,292880,496.0
3670,293680,496.0
3680,294480,476.0
3690,295280,476.0
3700,296080,476.0
3710,296880,476.0
3720,297680,476.0
3730,298480,476.0
3740,299280,476.0
3750,300080,480.0
3760,300880,480.0
3770,301680,480.0
3780,302480,544.0
3790,303280,544.0
3800,304080,538.0
3810,304880,526.0
3820,305680,532.0
3830,306480,530.0
3840,307280,530.0
3850,308080,540.0
3860,308880,540.0
3870,309680,540.0
3880,310480,532.0
3890,311280,532.0
3900,312080,524.0
3910,312880,524.0
3920,313680,530.0
3930,314480,530.0
3940,315280,530.0
3950,316080,522.0
3960,316880,522.0
3970,317680,522.0
3980,318480,522.0
3990,319280,536.0
4000,320080,508.0
4010,320880,508.0
4020,321680,508.0
4030,322480,508.0
4040,323280,508.0
4050,324080,500.0
4060,324880,500.0
4070,325680,484.0
